Epoch ,TrainLoss   ,ValidationLoss ,TrainAccuracy ,ValidationAccuracy
  239 ,0.01997951  ,   1.503327847 ,  0.020241435 ,       0.017919117
  240 ,5.679451942 ,   4.442352295 ,  0.021616992 ,       0.024067396
  241 ,0.023284212 ,   1.852857947 ,  0.023018505 ,       0.023625938
  242 ,2.651093245 ,   3.977782726 ,  0.018586578 ,       0.019963497
  243 ,3.333660364 ,   0.556819439 ,  0.020580724 ,       0.021809755
  244 ,0.553711951 ,   0.030462088 ,  0.016747661 ,       0.017930599
  245 ,0.055410724 ,   0.077615201 ,  0.01891552  ,       0.023783927
  246 ,4.032673836 ,   3.28558445  ,  0.021862758 ,       0.02155485
  247 ,0.172047913 ,   0.987028062 ,  0.021976857 ,       0.022539857
  248 ,1.694177985 ,   0.07759206  ,  0.022001628 ,       0.020600447
  249 ,0.05826645  ,   2.054550648 ,  0.016726781 ,       0.020981596
  250 ,0.026577575 ,   2.440858841 ,  0.022933235 ,       0.023544327
  251 ,0.209171265 ,   0.020118959 ,  0.020522948 ,       0.019953917
  252 ,0.036890835 ,   0.18860358  ,  0.018985968 ,       0.019623113
  253 ,0.023751974 ,   0.79833436  ,  0.024954441 ,       0.025008109
  254 ,0.619473279 ,   1.980140567 ,  0.019768032 ,       0.021089082
  255 ,0.044705898 ,   0.018307507 ,  0.024836114 ,       0.023405505
  256 ,1.946828127 ,   0.029640455 ,  0.015726974 ,       0.016159196
  257 ,0.042278603 ,   0.02556622  ,  0.023318783 ,       0.02149598
  258 ,0.567508578 ,   3.953663349 ,  0.023597886 ,       0.021803875
  259 ,3.755692005 ,   2.182198048 ,  0.020601873 ,       0.022803994
  260 ,0.359466672 ,   3.996994019 ,  0.021295581 ,       0.023405575
  261 ,0.028226497 ,   0.025089936 ,  0.019846167 ,       0.020374808
  262 ,0.088533923 ,   0.018944211 ,  0.018375659 ,       0.014618817
  263 ,0.049646031 ,   2.744335413 ,  0.02184824  ,       0.023245916
  264 ,4.17658329  ,   0.145951629 ,  0.020707086 ,       0.019350462
  265 ,0.016060131 ,   0.103403151 ,  0.019358769 ,       0.019556707
  266 ,0.042246625 ,   0.791394055 ,  0.019896569 ,       0.020854709
  267 ,0.975960791 ,   0.921559095 ,  0.019414163 ,       0.018708173
  268 ,0.313112468 ,   2.702363014 ,  0.019581251 ,       0.020178164
  269 ,0.041244105 ,   4.198322773 ,  0.017547413 ,       0.019884826
  270 ,0.119567394 ,   0.032299876 ,  0.021763821 ,       0.024533482
  271 ,1.108440518 ,   0.019067727 ,  0.018707758 ,       0.02034101
  272 ,0.027366072 ,   2.649764538 ,  0.020192135 ,       0.020650862
  273 ,3.098261356 ,   3.115701199 ,  0.022116853 ,       0.020074623
